,Rage
1103,0
1142,0
1149,0
1162,0
1165,0
1168,0
1169,0
1172,0
1179,0
1183,0
1238,0
1239,0
1243,0
1262,0
1263,0
1264,0
1265,0
1276,0
1304,0
1305,0
1306,0
1307,0
1333,0
1371,0
1374,0
1375,0
1376,0
1377,0
1384,0
1386,0
1413,0
1421,0
1425,0
1438,0
1439,0
1440,0
1441,0
1443,0
1444,0
1458,0
1468,0
1481,0
1490,0
1532,0
1534,0
1536,0
1537,0
1541,0
1548,0
1554,0
1557,0
1577,0
1683,0
1578,0
1579,1
1580,1
1581,1
1582,1
1583,0
1584,1
1585,1
1586,0
1587,0
1600,0
1601,0
1602,0
1605,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1640,1
1641,1
1642,1
1643,1
1644,0
1645,0
1670,1
1674,1
1999,1
2347,1
1699,1
1700,1
1701,0
1703,0
1704,0
1710,0
1711,1
1729,1
1737,0
1747,0
1799,1
1800,1
1801,1
1802,1
1803,1
1807,0
1809,1
1813,1
1816,1
1817,1
1822,0
1828,1
1830,0
1831,1
1838,1
1840,0
1857,1
1864,1
1873,1
1879,0
1935,0
1936,1
1938,1
1940,1
1942,1
1943,1
1946,0
1949,1
1955,1
1958,1
2108,1
2109,0
2112,0
2117,1
2119,0
2121,1
2137,0
2140,1
2143,1
2157,0
2172,1
2173,0
2174,1
2175,0
2245,1
2246,1
2247,1
2248,1
2301,0
2814,0
2253,0
2254,1
2255,1
2256,1
2257,1
2258,1
2259,0
2260,1
2263,1
2264,1
2359,1
2360,0
2361,1
2378,0
2380,1
2382,1
2388,0
2407,0
2410,0
2439,1
2475,1
2476,1
2477,1
2480,1
2481,0
2487,1
2488,1
2492,0
2517,0
2523,1
2532,1
2549,0
2558,1
2559,0
2560,1
2561,1
2562,1
2576,1
2605,1
2616,1
2636,0
2637,1
2638,1
2639,0
2640,1
2649,1
2663,1
2666,0
2698,0
2701,1
2723,1
2732,0
2735,0
2738,1
2739,1
2794,1
2805,1
2808,1
2810,1
3112,1
2839,1
2840,1
2841,0
2842,1
2843,1
2858,1
2860,1
2870,1
2872,1
2911,0
2938,1
2939,1
2940,1
2941,1
2942,0
2947,1
2960,1
2990,0
2992,1
3005,0
3022,1
3023,1
3026,1
3027,0
3028,1
3037,0
3038,1
3058,0
3059,0
3090,1
3157,0
3158,0
3159,1
3170,0
3172,1
3173,0
3174,1
3193,0
3194,1
3206,0
3258,1
3259,1
3263,1
3264,1
3265,1
3268,0
3269,1
3270,1
3272,1
3273,1
3444,0
3448,0
3450,0
3451,0
3462,0
3463,0
3464,0
3465,0
3469,0
3482,0
3490,0
3491,0
3492,0
3493,0
3494,0
3495,0
4341,0
4514,0
5056,0
5834,0
3507,0
3523,0
3526,0
3527,0
3536,0
3539,0
3555,0
3556,0
3557,0
3576,0
3608,0
3609,0
3610,0
3612,0
3614,0
3615,0
3617,0
3651,0
3653,0
3658,0
3684,0
3687,0
3688,0
3689,0
3690,0
3691,0
3692,0
3703,0
3721,0
3725,0
3767,0
3770,0
3771,0
3779,0
3780,0
3791,0
3838,0
3839,0
3844,0
3846,0
3893,0
3894,0
3902,0
3906,0
3907,0
3911,0
3921,0
3929,0
3944,0
3968,0
3997,0
3998,0
3999,0
4000,0
4001,0
4023,0
4024,0
4025,0
4045,0
4061,0
4081,0
4091,0
4094,0
4095,0
4096,0
4098,0
4099,0
4117,0
4118,0
4143,0
4184,0
4185,0
4186,0
4188,0
4189,0
4190,0
4211,0
4212,0
4213,0
4230,0
4273,0
4274,0
4281,0
4282,0
4283,0
4287,0
4289,0
4290,0
4295,0
4332,0
4355,0
4356,0
4357,0
4367,0
4374,0
4392,0
4393,0
4420,0
4421,0
4431,0
4464,0
4465,0
4467,0
4468,0
4469,0
4471,0
4472,0
4487,0
4496,0
4499,0
4538,0
4539,0
4559,0
4560,0
4562,0
4564,0
4566,0
4592,0
4593,0
4594,0
4624,0
4629,0
4631,0
4636,0
4640,0
4646,0
4647,0
4654,0
4662,0
4670,0
4720,0
4721,0
4722,0
4723,0
4724,0
4725,0
4726,0
4729,0
4730,0
4759,0
4512,0
4789,0
4790,0
4791,0
4792,0
4794,0
4796,0
4797,0
4798,0
4933,0
4815,0
